id,name,normalized_name,gender
1,Children,children,
2,Mechanical Santa,mechanical santa,
3,Tattoo Man,tattoo man,
4,DOCTOR ZITSOFSKY,doctor zitsofsky,
5,Students,students,
6,Little Boy,little boy,
7,Lewis Clark,lewis clark,
8,Little Girl,little girl,
9,Bubbles,bubbles,
10,Moldy,moldy,
11,Ticket Seller,ticket seller,
12,Elf #1,elf 1,
13,Elves,elves,
14,Dog's Owner,dogs owner,
15,Kids,kids,
16,Conductor,conductor,
17,Secretary,secretary,
18,Sydney,sydney,
19,Cecile Shapiro,cecile shapiro,
20,Ian,ian,
21,Calvin,calvin,
22,'Martin Prince,Sr.',
23,Richard,richard,
24,Wendell Borton,wendell borton,
25,Smilin' Joe Fission,smilin joe fission,
26,Rod #1,rod 1,
27,Rod #2,rod 2,
28,RODS,rods,
29,Workman #1,workman 1,
30,Foreman,foreman,
31,TERRI & SHERRI,terri sherri,
32,PUNK TEENAGER,punk teenager,
33,Tv Announcer #1,tv announcer 1,
34,Tv Announcer #2,tv announcer 2,
35,Jingle Chorus,jingle chorus,
36,Sylvia Winfield,sylvia winfield,
37,Old Man Winfield,old man winfield,
38,Councilman #1,councilman 1,
39,Councilman #2,councilman 2,
40,COUNCILMEN #1/#2,councilmen 12,
41,Demonstrator #1,demonstrator 1,
42,Crowd,crowd,
43,MR. GAMMILL,mr gammill,
44,TOM,tom,
45,Mrs. Long,mrs long,
46,Wife #1,wife 1,
47,Wife #2,wife 2,
48,Other Women,other women,
49,Nice Father,nice father,
50,Nice Boy,nice boy,
51,NICE GIRL,nice girl,
52,Nice Mother,nice mother,
53,NICE FAMILY,nice family,
54,Williams Boy,williams boy,
55,Mr. Williams,mr williams,
56,BOXING ANNOUNCER,boxing announcer,
57,TV-STATION ANNOUNCER,tv-station announcer,
58,Tv Wife,tv wife,
59,Tv Husband,tv husband,
60,Small Boy,small boy,
61,Pawn Broker,pawn broker,
62,Homer-ish Husband,homer-ish husband,
63,Weasel #1,weasel 1,
64,ALL AT THE TABLE,all at the table,
65,Kid,kid,
66,Weasel #2,weasel 2,
67,Maggie Simpson,maggie simpson,
68,Homer's Image,homers image,
69,Elderly Gentleman,elderly gentleman,
70,All,all,
71,Marge Simpson,marge simpson,female
72,Bart Simpson,bart simpson,male
73,Lisa Simpson,lisa simpson,female
74,Moe Szyslak,moe szyslak,male
75,Seymour Skinner,seymour skinner,male
76,Ned Flanders,ned flanders,male
77,Grampa Simpson,grampa simpson,male
78,Chief Wiggum,chief wiggum,male
79,Milhouse Van Houten,milhouse van houten,male
80,Waylon Smithers,waylon smithers,male
81,Nelson Muntz,nelson muntz,male
82,Edna Krabappel-Flanders,edna krabappel-flanders,female
83,Announcer,announcer,male
84,Selma Bouvier,selma bouvier,female
85,Barney Gumble,barney gumble,male
86,Patty Bouvier,patty bouvier,female
87,Martin Prince,martin prince,male
88,Otto Mann,otto mann,male
89,Lou,lou,male
90,Todd Flanders,todd flanders,male
91,Dr. Marvin Monroe,dr marvin monroe,male
92,Dr. J. Loren Pyror,dr j loren pyror,male
93,Dewey Largo,dewey largo,male
94,Eddie,eddie,male
95,Teacher,teacher,male
96,Clerk,clerk,male
97,Father,father,male
98,Sherri Mackleberry,sherri mackleberry,female
99,JANEY,janey,female
100,Ms. Melon,ms melon,female
101,Interviewer,interviewer,male
102,Ethan Foley,ethan foley,male
103,Terri Mackleberry,terri mackleberry,female
104,Voice,voice,male
105,Receptionist,receptionist,female
106,Ms. Barr,ms barr,
107,Newsman,newsman,
108,Barflies,barflies,
109,Boy Onlooker,boy onlooker,
110,Champ,champ,
111,NED,ned,
112,Homer's Canyon Echo,homers canyon echo,
113,Camper Father,camper father,
114,Camper Mother,camper mother,
115,Photographer,photographer,
116,Game Warden,game warden,
117,Reporter #1,reporter 1,
118,Reporter #2,reporter 2,
119,Flunky,flunky,
120,Map Boy,map boy,
121,Man #1,man 1,
122,Man #2,man 2,
123,German Scientist,german scientist,
124,Beautiful French Scientist,beautiful french scientist,
125,English Scientist,english scientist,
126,Announcer #1,announcer 1,
127,Radio Announcer #1,radio announcer 1,
128,Churchgoing Woman,churchgoing woman,
129,Girl On Screen,girl on screen,
130,Boy On Screen,boy on screen,
131,Usher,usher,
132,Mr. Dandy,mr dandy,
133,Radio Announcer #3,radio announcer 3,
134,Jebediah Springfield,jebediah springfield,
135,TV ANNOUNCER #3 CONT'D,tv announcer 3 contd,
136,Mob,mob,
137,Waiters,waiters,
138,1st Waiter Quartet,1st waiter quartet,
139,2nd Waiter Quartet,2nd waiter quartet,
140,3rd Waiter Quartet,3rd waiter quartet,
141,4TH QUARTET OF WAITERS,4th quartet of waiters,
142,Counter Guy,counter guy,
143,HELEN,helen,
144,Another Worker,another worker,
145,Female Mail Carrier,female mail carrier,
146,Mr. Fisk,mr fisk,
147,Eugene Fisk,eugene fisk,
148,Workers,workers,
149,Princess Kashmir,princess kashmir,
150,Hoyt,hoyt,
151,Girl #1,girl 1,
152,Boy #1,boy 1,
153,All Kids,all kids,
154,Freddie,freddie,
155,Lewis's Dad,lewiss dad,
156,Al,al,
157,Happy Man,happy man,
158,Funky Guy,funky guy,
159,Man At Door,man at door,
160,Ticket-seller,ticket-seller,
161,Stage Manager,stage manager,
162,Theatre-goer #1,theatre-goer 1,
163,Theatre-goer #2,theatre-goer 2,
164,Theatre-goer #3,theatre-goer 3,
165,Steward,steward,
166,Adil Hoxha,adil hoxha,
167,UGOLIN,ugolin,
168,Male Announcer,male announcer,
169,Military Man,military man,
170,MARGE & BART,marge bart,
171,Gendarme,gendarme,
172,Cia Agent #1,cia agent 1,
173,Cia Agent #2,cia agent 2,
174,Brad,brad,
175,Female Announcer,female announcer,
176,Brittany,brittany,
177,ITCHY & SCRATCHY CHORUS,itchy scratchy chorus,
178,Police Artist,police artist,
179,Scott Christian,scott christian,
180,Reporter #3,reporter 3,
181,District Attorney,district attorney,
182,Merchant,merchant,
183,Kent Brockman,kent brockman,male
184,Apu Nahasapeemapetilon,apu nahasapeemapetilon,male
185,Lenny Leonard,lenny leonard,male
186,Carl Carlson,carl carlson,male
187,Sideshow Bob,sideshow bob,male
188,Ralph Wiggum,ralph wiggum,male
189,Jimbo Jones,jimbo jones,male
190,Agnes Skinner,agnes skinner,female
191,Kearney Zzyzwicz,kearney zzyzwicz,male
192,DOLPH,dolph,male
193,Judge Snyder,judge snyder,male
194,Jacques,jacques,male
195,Salesman,salesman,male
196,Woman,woman,female
197,Rod Flanders,rod flanders,male
198,Manager,manager,male
